CustomerID,total_spent,avg_spent,order_count,favorite_product,favorite_product_right
68416,41863.32,872.15,48,Bread - English Muffin,Bread - English Muffin
55125,35726.52,729.11,49,"Pepper - Paprika, Hungarian",Cheese - Victor Et Berthold
58358,43569.9,837.88,52,Cookie Chocolate Chip With,Wine - Magnotta - Cab Sauv
78289,47305.96,1051.24,45,Sauerkraut,Lettuce - Frisee
43662,30416.76,596.41,51,Garbage Bags - Clear,Bread - Rye
57177,28564.47,732.42,39,Olive - Spread Tapenade,Milk - 1%
80974,56232.79,1124.66,50,Pail For Lid 1537,Black Currants
56271,32456.57,754.8,43,Phyllo Dough,Wine - Hardys Bankside Shiraz
42633,28467.81,593.08,48,"Lamb - Pieces, Diced",Gloves - Goldtouch Disposable
52583,30543.39,727.22,42,Pork - Inside,Pork - Inside
46989,27076.0,530.9,51,"Lentils - Red, Dry",Beer - Sleemans Cream Ale
75734,45841.0,975.34,47,Muffin Mix - Blueberry,Anchovy Paste - 56 G Tube
52466,36419.22,687.16,53,Beef - Striploin Aa,Wine - Pinot Noir Latour
94830,63820.73,1329.6,48,Chocolate - Feathers,Flavouring - Orange
78304,49642.67,1034.22,48,Wine - Blue Nun Qualitatswein,Wine - Blue Nun Qualitatswein
86857,40376.35,1091.25,37,Ice Cream Bar - Oreo Cone,Wine - Magnotta - Belpaese
73331,47551.7,880.59,54,Sauce - Demi Glace,Bandage - Fexible 1x3
47521,44247.29,702.34,63,Vaccum Bag 10x13,Kellogs Special K Cereal
60711,30079.22,716.17,42,Ice Cream Bar - Hageen Daz To,Hersey Shakes
77517,35955.65,817.17,44,"Wine - White, Schroder And Schyl","Wine - White, Schroder And Schyl"
56888,30037.94,682.68,44,Bandage - Fexible 1x3,Bandage - Fexible 1x3
87604,44279.26,1054.27,42,Longos - Grilled Chicken With,Cookie - Dough Variety
83752,65681.46,1094.69,60,Appetizer - Mushroom Tart,Assorted Desserts
94402,60469.98,1099.45,55,Tahini Paste,Pork - Inside
66344,24855.75,828.52,30,Tofu - Firm,Tofu - Firm
66853,35492.47,724.34,49,Pernod,Bread - Bistro White
56846,41402.76,796.21,52,Clam Nectar,Wine - Two Oceans Cabernet
61092,37785.6,755.71,50,Chocolate - Compound Coating,Chocolate - Feathers
67657,39130.91,978.27,40,Cinnamon Buns Sticky,Cake - Mini Cheesecake
95434,80428.41,1276.64,63,"Pasta - Detalini, White, Fresh",Bread - Italian Roll With Herbs
44994,31307.82,602.07,52,Chicken - Wieners,Juice - V8 Splash
81236,42109.91,957.04,44,"Garlic - Primerba, Paste","Garlic - Primerba, Paste"
75031,49290.04,880.18,56,Foam Dinner Plate,"Wine - Cahors Ac 2000, Clos"
62699,40688.58,847.68,48,Pasta - Angel Hair,Pasta - Angel Hair
95702,54957.85,1194.74,46,"Sauce - Gravy, Au Jus, Mix",Carbonated Water - Blackcherry
95905,60847.65,1294.63,47,Wine - Two Oceans Cabernet,Juice - Lime
91495,61063.94,1327.48,46,Assorted Desserts,Assorted Desserts
87203,60627.57,1212.55,50,Lambcasing,Lambcasing
62351,37339.53,794.46,47,Raspberries - Fresh,Oil - Shortening - All - Purpose
80644,46204.1,962.59,48,"Pepper - Paprika, Hungarian",Vaccum Bag 10x13
87682,46820.79,1170.52,40,Sausage - Liver,Sausage - Liver
73201,41268.33,1006.54,41,Carbonated Water - Cherry,Crush - Cream Soda
79917,50724.22,1014.48,50,"Coconut - Shredded, Sweet","Coconut - Shredded, Sweet"
48137,32254.47,671.97,48,Dc Hikiage Hira Huba,Dc Hikiage Hira Huba
94253,74728.93,1245.48,60,Grouper - Fresh,Brandy - Bar
98260,67196.91,1244.39,54,Cheese - Camembert,Garlic - Peeled
68523,45656.3,878.01,52,Veal - Slab Bacon,Kellogs Special K Cereal
98522,64573.9,1373.91,47,Cheese - Victor Et Berthold,Cheese - Victor Et Berthold
78705,46461.13,911.0,51,Anchovy Paste - 56 G Tube,Anchovy Paste - 56 G Tube
70306,38749.57,901.15,43,Beer - Sleemans Cream Ale,"Lentils - Red, Dry"
93892,57922.08,1232.38,47,Crush - Cream Soda,Crush - Cream Soda
57218,44061.0,815.94,54,Beef - Top Sirloin - Aaa,Halibut - Steaks
62836,43191.47,881.46,49,Cocoa Butter,Wine - Hardys Bankside Shiraz
45634,20587.56,588.22,35,Pie Filling - Cherry,Juice - V8 Splash
65260,50561.93,1011.24,50,Barramundi,Barramundi
96009,63594.12,1445.32,44,Spice - Peppercorn Melange,Spice - Peppercorn Melange
81811,54505.82,1048.19,52,"Thyme - Lemon, Fresh",Beans - Kidney White
67556,51422.76,886.6,58,"Beef - Chuck, Boneless","Beets - Candy Cane, Organic"
93201,66785.94,1309.53,51,Wine - Prosecco Valdobiaddene,"Water - Mineral, Natural"
89891,47954.34,1115.22,43,Lettuce - California Mix,Beef - Top Sirloin
79360,62223.51,1196.61,52,"Beef - Chuck, Boneless",Grouper - Fresh
70955,40429.89,808.6,50,Lettuce - Treviso,Table Cloth 81x81 White
79831,40472.62,1065.07,38,Fuji Apples,Bacardi Breezer - Tropical
54827,28159.68,654.88,43,Truffle Cups - Brown,Beer - Blue
84475,51820.22,1079.59,48,Wine - Toasted Head,Steam Pan - Half Size Deep
91609,60522.63,1163.9,52,"Doilies - 5, Paper","Bread - Roll, Soft White Round"
80760,45635.91,1061.3,43,Ocean Spray - Kiwi Strawberry,Mustard - Seed
87967,58012.54,1137.5,51,Ocean Spray - Ruby Red,Phyllo Dough
79384,48447.69,1101.08,44,Milk - 2%,"Crab - Dungeness, Whole"
79542,49388.33,1097.52,45,Tea - Decaf Lipton,Tea - Decaf Lipton
98093,64301.11,1260.81,51,Lamb - Ground,Lamb - Ground
52797,27402.64,702.63,39,Tea - English Breakfast,Cheese - Cottage Cheese
85880,54089.87,1103.87,49,"Beef - Tenderlion, Center Cut","Beef - Tenderlion, Center Cut"
91603,48688.25,1217.21,40,"Pork - Bacon, Double Smoked",Scampi Tail
96006,48087.41,1045.38,46,"Wine - Red, Harrow Estates, Cab",Pork - Inside
87319,53042.94,1153.11,46,Pears - Bosc,Spice - Peppercorn Melange
42212,29349.09,533.62,55,"Salmon - Atlantic, Skin On",Duck - Breast
61666,30994.45,659.46,47,Potatoes - Idaho 100 Count,"Nut - Chestnuts, Whole"
93092,66385.11,1252.55,53,Bread - Rye,Table Cloth 81x81 White
73962,35272.8,904.43,39,Beef Wellington,Milk Powder
94937,41253.39,1057.78,39,Nantuket Peach Orange,Garlic
71223,50028.75,1000.57,50,"Mushrooms - Black, Dried","Mushrooms - Black, Dried"
50091,31224.11,600.46,52,Puree - Passion Fruit,Cheese - Wine
80908,49601.9,1209.8,41,Chips Potato Salt Vinegar 43g,"Soup - Canadian Pea, Dry Mix"
56778,29793.35,744.83,40,"Pepper - White, Ground",Cup - Translucent 7 Oz Clear
94509,61671.1,1434.21,43,"Mushrooms - Black, Dried",Curry Paste - Madras
89554,53049.45,1205.67,44,"Juice - Cranberry, 341 Ml",Pork - Belly Fresh
87491,55545.99,1262.41,44,Gatorade - Xfactor Berry,Gatorade - Xfactor Berry
51600,33571.52,699.41,48,Lamb - Ground,Rambutan
77253,56648.2,993.83,57,Mussels - Cultivated,Mussels - Cultivated
42326,25017.38,568.58,44,Papayas,Mangoes
41709,32559.21,551.85,59,Pasta - Angel Hair,Dc - Frozen Momji
44306,21580.05,539.5,40,Sage - Ground,Sage - Ground
48655,33970.57,629.08,54,Chips Potato All Dressed - 43g,Lettuce - Treviso
39912,29388.05,544.22,54,Garlic,Garlic
73141,44441.0,966.11,46,"Wine - Red, Harrow Estates, Cab","Wine - Red, Harrow Estates, Cab"
78970,56392.87,1199.85,47,Blueberries,Wine - Toasted Head
50624,30806.58,641.8,48,"Bread - Roll, Soft White Round",Juice - Happy Planet
84633,53148.6,1207.92,44,Liners - Baking Cups,Liners - Baking Cups
80141,59800.85,1013.57,59,Yogurt - French Vanilla,Yogurt - French Vanilla
89936,57187.0,1191.4,48,Cake - Mini Cheesecake,Bar - Granola Trail Mix Fruit Nut
41737,25190.31,629.76,40,"Wine - Red, Cooking","Wine - Red, Cooking"
83984,54565.71,1186.21,46,Creme De Banane - Marie,Onion Powder
52851,28857.0,721.42,40,Tray - 16in Rnd Blk,Wine - Crozes Hermitage E.
81174,39824.78,995.62,40,Nantucket - Pomegranate Pear,Nantucket - Pomegranate Pear
60350,34901.28,830.98,42,Dried Figs,Table Cloth - 53x69 Colour
70107,48219.07,892.95,54,Olives - Kalamata,"Rosemary - Primerba, Paste"
52463,41103.52,747.34,55,Wine - Redchard Merritt,Wine - Redchard Merritt
62393,37256.66,866.43,43,Ecolab - Solid Fusion,Ecolab - Solid Fusion
69911,49464.84,989.3,50,"Bar Mix - Pina Colada, 355 Ml",Remy Red
39578,29041.05,558.48,52,Bread - French Baquette,Bread - Hot Dog Buns
48537,32498.7,637.23,51,"Water - Mineral, Natural",Muffin Batt - Blueberry Passion
94048,47105.38,1207.83,39,Cod - Black Whole Fillet,Dc - Frozen Momji
61205,43505.62,836.65,52,Peas - Frozen,"Pork - Bacon, Double Smoked"
53375,43294.28,801.75,54,Wine - Gato Negro Cabernet,Wine - Gato Negro Cabernet
86640,52067.33,1269.93,41,Pork - Kidney,Grenadine
80022,44530.55,1086.11,41,Ecolab - Solid Fusion,Ecolab - Solid Fusion
52627,34721.8,754.82,46,Wine - Prosecco Valdobiaddene,Wine - Prosecco Valdobiaddene
83436,45762.59,1016.95,45,Wine - Valpolicella Masi,Anchovy Paste - 56 G Tube
97174,66347.2,1251.83,53,Mustard Prepared,Mustard Prepared
81254,58115.84,1037.78,56,Guinea Fowl,Artichokes - Jerusalem
62054,45524.47,798.67,57,Tea - Herbal Sweet Dreams,Sauce - Hollandaise
75946,43813.47,912.78,48,V8 - Berry Blend,V8 - Berry Blend
53211,40425.57,762.75,53,Bread - Rye,Rosemary - Dry
84555,72733.85,1254.03,58,Grapes - Red,Nantuket Peach Orange
97733,47998.69,1199.97,40,"Lamb - Pieces, Diced",Beef - Rib Eye Aaa
43719,38602.8,654.28,59,Bread - Raisin Walnut Oval,Wine - Blue Nun Qualitatswein
87229,58946.48,1309.92,45,Muffin Batt - Choc Chk,Muffin Batt - Choc Chk
39729,32404.58,611.41,53,Rosemary - Dry,Sobe - Tropical Energy
40557,26466.85,518.96,51,Wine - Crozes Hermitage E.,"Chicken - Leg, Boneless"
67686,49187.83,833.69,59,Chocolate - Compound Coating,Chocolate - Compound Coating
58683,37031.08,787.9,47,"Bar Mix - Pina Colada, 355 Ml","Bar Mix - Pina Colada, 355 Ml"
60818,35678.06,829.72,43,"Beans - Kidney, Canned","Beans - Kidney, Canned"
63971,39402.29,856.57,46,"Mushroom - Porcini, Dry","Mushroom - Porcini, Dry"
64203,40670.18,884.13,46,Yogurt - French Vanilla,Carbonated Water - Blackcherry
88304,36950.81,1274.17,29,Onions - Cippolini,Onions - Cippolini
50075,26139.77,706.48,37,Apricots - Halves,Apricots - Halves
55920,47893.91,939.1,51,Cheese - Parmesan Cubes,Creme De Banane - Marie
50996,33343.42,680.48,49,"Placemat - Scallop, White","Placemat - Scallop, White"
54315,27185.41,679.64,40,"Pepper - Paprika, Hungarian",Durian Fruit
70732,36535.39,761.15,48,Tea - Earl Grey,Tea - Earl Grey
73933,33435.79,955.31,35,Beef - Texas Style Burger,Cookie - Dough Variety
44884,25139.98,628.5,40,Papayas,Papayas
55381,39522.62,731.9,54,Muffin Batt - Blueberry Passion,Sardines
49203,29228.79,635.41,46,Pate - Cognac,Chef Hat 20cm
69086,48974.62,960.29,51,Ecolab - Mikroklene 4/4 L,Jolt Cola - Electric Blue
75246,50273.07,1142.57,44,"Cup - 6oz, Foam",Soupfoamcont12oz 112con
93652,51339.97,1140.89,45,"Beer - Alexander Kieths, Pale Ale",Cheese - Cheddarsliced
72718,55937.86,981.37,57,Fenngreek Seed,Fenngreek Seed
74331,46214.59,906.17,51,Liners - Baking Cups,Cheese - Victor Et Berthold
93345,59420.37,1237.92,48,Remy Red,Remy Red
47813,31941.54,665.45,48,Vinegar - Tarragon,Vinegar - Sherry
67975,38917.75,864.84,45,Baking Powder,Baking Powder
92817,46935.23,1303.76,36,Wine - Blue Nun Qualitatswein,Wine - Blue Nun Qualitatswein
82251,40657.76,945.53,43,Apricots Fresh,Apricots Fresh
